title,alias,artists,artist_aliases,country,genre,language,duration,notes,release_year,release_month
Дай пять,Daj pjat',Банд’Эрос,Band’Эros,Russia,Pop,Russian,181,R/U,2014,4
Coffin Nails,,MF DOOM,,USA,,,176,Fx,,
Hot Summer,,Monrose,,Germany,Dance pop,English,210,Pop,2025,
"Never Leave You (Uh Oooh, Uh Oooh)",,Lumidee,,USA,R&B,English,184,Pop,,
Righteous,,Mo Beats,,USA,Hip hop,,163,Fx,2022,3
Mais Que Nada,,Sergio Mendes & Brasil '66,,Brazil,Bossa Nova,Portuguese,159,Br,2016,
Kerosene,,Crystal Castles,,Canada,House,,192,Fx,2012,11
"Lying Has To Stop (feat. LA Priest, Connan Mockasin)",,"Soft Hair, LA Priest, Connan Mockasin",,,Funk pop,English,356,Contemp,,
Drowning Butterflies,,The Cleaners From Venus,,UK,Indie pop,English,300,UK,,
See Tình (Cukak Remix) (feat. Cukak),See Tình (Cukak Remix),"Hoàng Thùy Linh, Cukak",Hoàng Thùy Linh,Vietnam,V-pop,Vietnamese,170,Viet,,
Tension,,Kylie Minogue,,Australia,Dance pop,English,216,Pop,2025,9
Paso (The Nini Anthem) - Radio Edit,,Sak Noel,,Spain,Dance pop,English,197,Fx,,
Monstrão,Monstrão,"Anitta, DENNIS",,Brazil,Tamborzão,Portuguese,127,Br,2023,11
Night Nurse,,Gregory Isaacs,,Jamaica,Reggae,English,249,Reggae,1983,
Nasty,,The Damned,,UK,Punk,English,169,UK,2007,9
Coral Mimic,,Iglooghost,,UK,Industrial,English,206,Fx,,
Pedro,,"Raffaella Carrà, Jaxomy, Agatino Romero",Raffaella Carrà,,EDM,Italian,144,It,1980,
Here We Go (Uh Oh),,Coco Jones,,USA,R&B,English,216,R&B,2025,8
Ate That,,YOUNG POSSE,,Korea,Kpop,Korean,180,K,2024,8
Sounds Like a Melody,,Alphaville,,UK,Synth pop,English,285,UK,2006,3
mr useless (feat. SG Lewis),,"Shygirl, SG Lewis",,UK,Dance pop,English,149,Pop,,
