title,alias,artists,artist_aliases,country,genre,language,duration,notes
"Como La Flor",,Selena,,USA,"Tejano cumbia",Spanish,184,Latin
"Cry for You",,September,,Sweden,"Dance pop",English,209,Pop
Anthonio,,Annie,,Norway,"Synth pop",English,201,Fx
"Lo Siento (feat. KARD)",,"SUPER JUNIOR, KARD",,Korea,"Latin pop",Korean,226,"K, Latin"
MASCARA,,"Nicki Nicole, Duki",,Argentina,Latin,Spanish,145,Latin
"Wall Of Sleep (Harvey McKay Remix) (feat. HAAi)",,"Daniel Avery, HAAi",,UK,Electronic,English,293,Fx
"Bésame","Bésame","Juan Gabriel",,Mexico,Pop,Spanish,248,Latin
Quimbara,,"Celia Cruz, Johnny Pacheco",,Cuba,Salsa,Spanish,291,Latin
"Toro Mata",,"Celia Cruz, Johnny Pacheco",,Cuba,Salsa,Spanish,342,Latin
"A Papá","A Papá","Celia Cruz, Willie Colón","Willie Colón",Cuba,Salsa,Spanish,250,Latin
"Pun Pun Catalú","Pun Pun Catalú","Celia Cruz, Willie Colón","Willie Colón",Cuba,Salsa,Spanish,205,Latin
"Dulce Habanera",,"Celia Cruz, Willie Colón","Willie Colón",Cuba,Salsa,Spanish,246,Latin
"Movie Disco",,"Felix Da Housecat",,USA,"House funk",English,203,Fx
EXTRA,,"전소미",jeonsomi,Korea,"City pop",Korean,150,K
Sync,,TaQ,,Japan,Trance,,230,J
"I'm Ready",,Kano,,Italy,"Italo disco",English,432,Ox
"Forget Me Nots",,"Patrice Rushen",,USA,"Dance funk",English,283,Ox
"Ain't Nobody",,"Chaka Khan, Rufus",,USA,Funk,English,281,Ox
"Never Too Much",,"Luther Vandross",,USA,R&B,English,230,Ox
"Ring My Bell",,"Anita Ward",,USA,Disco,English,491,Ox
Bootleg,,"Death Grips",,USA,Experimental,English,126,Fx
"This Is Violence Now (Don't Get Me Wrong)",,"Death Grips",,USA,Experimental,English,157,Fx
Residue,,"A.G. Cook",,UK,"Acid techno",,208,Fx
"Si un jour",,"La Femme",,France,"Synth pop",French,158,Fr
"Antes Muerta Que Sencilla",,"Los Horóscopos De Durango","Los Horóscopos De Durango",USA,Duranguense,Spanish,170,Latin
"I can't Wait",,"Nu Shooz",,USA,"Dance pop",English,326,80s
"Mother's Talk",,"Tears For Fears",,UK,"New wave",English,306,80s
"You Spin Me Round (Like a Record)",,"Dead Or Alive",,UK,"Synth pop",English,195,80s
"3 Words (feat. will.i.am)",,"Cheryl Cole, will.i.am",,UK,"Dance pop",English,273,Pop
"Ready for the Weekend",,"Icona Pop",,UK,"Electro house",English,162,Pop
"Sun Goes Down (feat. The Knocks, St. Lucia)",,"Icona Pop, The Knocks, St. Lucia",,UK,"Dance pop",English,195,Pop
"Haboglabotribin'",,"Bernard Wright",,USA,Funk,English,259,Ox
"Rip Off",,"After School",,Korea,Kpop,Korean,177,K
"Happy Days",,"Brooke Candy",,USA,"Electro pop",English,222,Pop
"Destroy Everything You Touch",,Ladytron,,UK,"Electro pop",English,276,Pop
"Good Clean Fun",,Clearlake,,UK,"Indie rock",English,234,Pop
"Sun Is Shining",,"Bob Marley, The Wailers",,Jamaica,Reggae,English,298,Reggae
WHISTLE,,BLACKPINK,,Korea,Kpop,Korean,211,K
ILYSM,,"Steve Aoki, Autoerotique",,USA,EDM,English,200,Fx
"Masterplan (feat. Miss Kittin)",,"Miss Kittin, The Hacker",,France,"Dance pop",English,390,Fx
"Half Bad",,"White Reaper",,USA,"Alt rock",English,163,Punk
"I'd Rather Be with You",,"Bootsy Collins",,USA,Funk,English,297,Cx
"ALL OF YOU SAY",,MINZY,,Korea,Pop,English,151,K
"Keep Up",,"Hyper Crush",,USA,"Neon electro",English,193,Fx
"Flip the Switch",,"Hyper Crush",,USA,"Neon electro",English,203,Fx
"Take Me Back",,KaW,,USA,Electronic,English,123,IIDX+
Disconnected,,"Inspector K",,USA,Electronic,English,121,IIDX+
Infection,,"Inspector K",,USA,Electronic,English,138,IIDX+
Tension,,"Inspector K",,USA,Electronic,English,120,IIDX+
"Nóng (feat. Hạnh Sino)","Nóng","BigDaddy, Hạnh Sino","Hạnh Sino",Vietnam,"V pop",Vietnamese,197,Viet
Paralyzed,,"Agnes Monica",,Indonesia,Pop,Indonesian,217,Indo
"I Feel Love",,"Donna Summer",,USA,Disco,English,493,Cx
"Give Me the Night",,"George Benson",,USA,R&B,English,301,Ox
"Take My Hand",,"Charli XCX",,UK,Pop,English,266,Fx
"Stay Away",,"Charli XCX",,UK,"Dark wave",English,227,Fx
"Set Me Free (Feel My Pain)",,"Charli XCX",,UK,"Dark wave",English,233,Fx
Grins,,"Charli XCX",,UK,"Dark wave",English,232,Fx
"You're the One",,"Charli XCX",,UK,"Dark wave",English,195,Fx
1999,,"Charli XCX, Troye Sivan",,UK,Pop,English,189,Fx
"Paradise (feat. Hannah Diamond)",,"Charli XCX, Hannah Diamond",,UK,"Dark wave",English,181,Fx
"Secret (Shh)",,"Charli XCX",,UK,Pop,English,205,Fx
"Dying for You",,"Charli XCX",,USA,Pop,English,182,Soundtrack
"Seeing Things",,"Charli XCX",,USA,Pop,English,150,Soundtrack
Altars,,"Charli XCX",,USA,Pop,English,176,Soundtrack
"Always Everywhere",,"Charli XCX",,USA,Pop,English,183,Soundtrack
"Eyes of the World (feat. Sky Ferreira)",,"Charli XCX, Sky Ferreira",,USA,Pop,English,223,Soundtrack
"My Reminder",,"Charli XCX",,USA,Pop,English,213,Soundtrack
"Hello goodbye",,"Charli XCX",,USA,Pop,English,219,Fx
Sentence,,"A.G. Cook, Thy Slaughter, Finn Keane",,UK,EDM,,143,Fx
"Magic's In The Makeup",,"No Doubt",,USA,Pop,English,261,Pop
"Artificial Sweetener",,"No Doubt",,USA,Pop,English,234,Pop
"Marry Me",,"No Doubt",,USA,Pop,English,277,Pop
"Dark Blue",,"No Doubt",,USA,Pop,English,275,POp
"What's your name?",,4minute,,Korea,Kpop,Korean,186,K
"Get On The Floor",,4minute,,Korea,Kpop,Korean,105,K
"No Love",,4minute,,Korea,Kpop,Korean,195,K
Blind,,4minute,,Korea,Kpop,Korean,240,K
Canvas,,4minute,,Korea,Kpop,Korean,216,K
"Miami Disco",,Perturbator,,France,"Dark synthwave",,271,Fx
1982,,"Miss Kittin, The Hacker",,France,Electroclash,English,319,Fx
"1000 Dreams",,"Miss Kittin, The Hacker",,France,Electroclash,English,327,Fx
"Frank Sinatra",,"Miss Kittin, The Hacker",,France,Electroclash,English,235,Fx
"Life on MTV",,"Miss Kittin, The Hacker",,France,Electroclash,English,265,Fx
Bassline,,"Miss Kittin",,France,Electroclash,English,216,Fx
"Inutile Éternité","Inutile Éternité","Miss Kittin, The Hacker",,France,Electroclash,French,328,Fx
"Blue Grass",,"Miss Kittin",,France,Electroclash,English,270,Fx
Stripper,,"Miss Kittin, The Hacker",,France,Electroclash,English,299,Fx
Indulgence,,"Miss Kittin, The Hacker",,France,Electroclash,English,250,Fx
"Machine Joy",,"Miss Kittin",,France,Electroclash,English,212,Fx
"Sunset Strip",,"Miss Kittin",,France,Electroclash,English,182,Fx
"The Womb",,"Miss Kittin, The Hacker",,France,Electroclash,English,347,Fx
Malade,,"Miss Kittin, The Hacker",,France,Electroclash,French,378,Fx
"Silver Screen Shower Scene - Laurent Garnier Remix",,"Felix Da Housecat, Laurent Garnier",,,Electro,English,482,Fx
"박수쳐",bagsuchyeo,2NE1,,Korea,Kpop,Korean,222,K
SCREAM,,2NE1,,Korea,Pop,Japanese,222,K
"Don't Stop The Music",,2NE1,,Korea,Kpop,Korean,229,K
"COME BACK HOME",,2NE1,,Korea,Kpop,Korean,229,K
"GOTTA BE YOU",,2NE1,,Korea,Kpop,Korean,231,K
"멘붕 - CL SOLO","menbung - CL SOLO",2NE1,,Korea,Kpop,Korean,195,K
"THE BADDEST FEMALE",,CL,,Korea,Kpop,Korean,223,K
"Get Outta My House",,"HyunA, Jung Yeol Kwon",,Korea,Kpop,Korean,202,K
"Bubble Pop!",,HyunA,,Korea,Kpop,Korean,212,K
"Roll Deep (feat. Il Hoon Jung)",,"HyunA, Il Hoon Jung",,Korea,Kpop,Korean,202,K
Red,,HyunA,,Korea,Kpop,Korean,199,K
BABE,,HyunA,,Korea,Kpop,Korean,193,K
Freaky,,HyunA,,Korea,Kpop,Korean,197,K
"Party, Feel, Love (feat. DAWN)",,"HyunA, DAWN",,Korea,Kpop,Korean,209,K
"Ice Ice (feat. Ji Dam Yook)",,"HyunA, Ji Dam Yook",,Korea,Kpop,Korean,196,K
"Run & Run (Intro)",,HyunA,,Korea,Kpop,Korean,91,K
"Don't Recall",,KARD,,Korea,Kpop,Korean,208,K
"Hola Hola",,KARD,,Korea,Kpop,Korean,202,K
"You In Me",,KARD,,Korea,Kpop,Korean,203,K
"Dímelo","Dímelo",KARD,,Korea,Kpop,Korean,201,K
"Living Good (Special thanks to.)",,KARD,,Korea,Kpop,Korean,215,K
"I can't stop",,KARD,,Korea,Kpop,Korean,229,K
"I Don't Stop",,Zam,,Korea,Kpop,Korean,244,Ox
ENEMY,,KARD,,Korea,Kpop,Korean,175,K
Moonlight,,KARD,,Korea,Kpop,Korean,199,K
